TName,Location,Phone,MTitle,ShowTime,Rating,CCode,CName
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Austin Pendleton
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Bebe Neuwirth
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Dianne Wiest
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Eli Wallach
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Kenny Kerr
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Lainie Kazan
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Tim Daly
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,A,Whoopi Goldberg
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",4:20 PM,PG-13,D,Donald Petrie
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Austin Pendleton
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Bebe Neuwirth
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Dianne Wiest
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Eli Wallach
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Kenny Kerr
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Lainie Kazan
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Tim Daly
Akarakian Theatres Moreno 4 Cinemas,"The Intersection Of Alessandro + Perris Blvds, Moreno Valley",(909) 485-2899,"Associate, The",7:20 PM,PG-13,A,Whoopi Goldberg
