imdb_id,content_rating,description,director,genre,length,metadata.also_known_as,metadata.asp_retio,metadata.budget,metadata.countries,metadata.filming_locations,metadata.gross,metadata.languages,metadata.sound_mix,original_title,poster.large,poster.thumb,rating,rating_count,release_date,stars,storyline,title,trailer,url.title,url.url,url.year,writers,year
tt0115580,PG-13,A comedy about making it on Wall Street. Prejudices are hard to break and Laurel Ayres quickly learns that in order for people to take her seriously she has to work for an older white man or be one.,Donald Petrie,['Comedy'],114,"[""L'associ&#233;""]",1.85 : 1,,['USA'],"[""Knole's Rotunda"", 'Long Island', 'New York', 'USA']","$12,772,657              (USA)      (26 January 1997)",['English'],['Dolby Digital'],,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDYyNjUyOV5BMl5BanBnXkFtZTcwNDc3MTAyMQ@@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDYyNjUyOV5BMl5BanBnXkFtZTcwNDc3MTAyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.1,"6,531",1996-10-25,"['Whoopi Goldberg', 'Dianne Wiest', 'Eli Wallach']",Laurel Ayres is a businesswoman trying to make it but unfortunately she works at a investment firm where she does all the work but all the senior investors like Frank Peterson grab all the credit. She then leaves and starts her own firm. While trying to find clients Laurel pretends that she has a male partner named Robert Cutty. And when she starts to do well all of her clients wants to meet Cutty which is difficult since he doesn't exist.,The Associate,[],The Associate,http://www.imdb.com/title/tt0115580/?ref_=fn_tt_tt_1,   (1996) ,"['Jenaro Prieto', 'Jean-Claude Carrière']",1996
tt0116409,R,A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,Stephen Hopkins,"['Adventure', 'Drama', 'Thriller']",110,['Der Geist und die Dunkelheit'],2.35 : 1,"$55,000,000              (estimated)","['Germany', 'USA']","['Songimvelo Game Reserve', 'Mpumalanga', 'South Africa']","$38,619,405              (USA)","['English', 'Hindi']","['DTS', 'Dolby Digital', 'SDDS']",,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4NDRiMWItNGI5Yi00N2U1LTlkMGQtM2VjMzdkZTU0YzYyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ4NDRiMWItNGI5Yi00N2U1LTlkMGQtM2VjMzdkZTU0YzYyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,"49,351",1996-10-11,"['Michael Douglas', 'Val Kilmer', 'Tom Wilkinson']","Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer   to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions.",The Ghost and the Darkness,[],The Ghost and the Darkness,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,   (1996) ,['William Goldman'],1996
tt0116629,PG-13,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,"['Action', 'Adventure', 'Sci-Fi']",145,['ID4'],2.35 : 1,"$75,000,000              (estimated)",['USA'],"['Santa Clarita', 'California', 'USA']","$306,169,255              (USA)      (12 January 1997)",['English'],"['DTS 70 mm(70 mm print)', 'DTS(35 mm prints)', 'Dolby Digital(35 mm prints)', 'SDDS(35 mm prints)']",,https://images-na.ssl-images-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.0,"464,380",1996-07-03,"['Will Smith', 'Bill Pullman', 'Jeff Goldblum']","On July 2nd, communications systems worldwide are sent into chaos by a strange atmospheric interference. It is soon learned by the military that a number of enormous objects are on a collision course with Earth. At first thought to be meteors, they are later revealed to be gigantic spacecraft, piloted by a mysterious alien species. After attempts to communicate with the aliens go nowhere, David Levinson, an ex-scientist turned cable technician, discovers that the aliens are going to attack major points around the globe in less than a day. On July 3rd, the aliens all but obliterate New York, Los Angeles and Washington, as well as Paris, London, Houston and Moscow. The survivors set out in convoys towards Area 51, a strange government testing ground where it is rumored the military has a captured alien spacecraft of their own. The survivors devise a plan to fight back against the enslaving aliens, and July 4th becomes the day humanity will fight for its freedom. July 4th is their ...",Independence Day,"[{'mimeType': 'video/mp4', 'definition': '720p', 'videoUrl': 'http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e65092&bitrateid=449&vendorid=102&type=.mp4'}, {'mimeType': 'video/mp4', 'definition': '360p', 'videoUrl': 'http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e65092&bitrateid=472&vendorid=102&type=.mp4'}, {'mimeType': 'video/mp4', 'definition': '240p', 'videoUrl': 'http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e65092&bitrateid=461&vendorid=102&type=.mp4'}]",Independence Day,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,   (1996) ,"['Dean Devlin', 'Roland Emmerich']",1996
tt0116000,PG,"The unruly team of hockey misfits grows up a bit and receives scholarships to a prestigious prep school, where they take on the snotty varsity team.",Robert Lieberman,"['Action', 'Comedy', 'Drama']",104,['Campe&#245;es Impar&#225;veis'],1.85 : 1,,['USA'],"['Columbia Arena 7011 University Ave NE Fridley', 'Minnesota', 'USA']","$22,936,273              (USA)      (2 February 1997)",['English'],['Dolby Digital'],,https://images-na.ssl-images-amazon.com/images/M/MV5BNWMyZmNkNTMtYTZlMi00MmQ5LWE4NWQtMzVjZWZhNmU1Yjc1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWMyZmNkNTMtYTZlMi00MmQ5LWE4NWQtMzVjZWZhNmU1Yjc1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5.3,"20,692",1996-10-04,"['Emilio Estevez', 'Jeffrey Nordling', 'David Selby']","In the third episode of this series, the Ducks get scholarships to Eden Hall Academy, a high ranking prep school. But as freshmen, they will have to face the snob varsity team...",D3: The Mighty Ducks,[],D3: The Mighty Ducks,http://www.imdb.com/title/tt0116000/?ref_=fn_tt_tt_1,   (1996) ,"['Steven Brill', 'Kenneth Johnson']",1996
tt0116059,PG,"When letters written to God start getting results, and replies, people everywhere are amazed. The post office, however, is annoyed.",Garry Marshall,['Comedy'],112,['Cher bon Dieu'],1.85 : 1,"$22,000,000              (estimated)",['USA'],"['Union Station - 800 N. Alameda Street', 'Downtown', 'Los Angeles', 'California', 'USA']","$7,061,018              (USA)      (12 January 1997)",['English'],['Dolby'],,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNDc4OTQwNV5BMl5BanBnXkFtZTcwNTAzMjUyMQ@@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNDc4OTQwNV5BMl5BanBnXkFtZTcwNTAzMjUyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",5.3,"3,272",1996-11-01,"['Greg Kinnear', 'Laurie Metcalf', 'Maria Pitillo']","Tom Turner is a con man, defrauding people from their money with a variety of two-bit hustles. One night he makes the mistake of attempting to hustle some undercover cops, and finds himself in court faced with the dilemma of either going to jail or getting a real job. Choosing to stay out of jail, he gets a job at the post office working in their Dead Letter Office helping to sort Dead Letters (i.e. mail which, for whatever reason, can't be delivered). Some of the mail he recieves can't be delivered because it's addressed to God, and he accidentally answers (sending them money in the process). This starts the ball rolling as more of his co-workers get in on the idea of helping people by answering ""God"" mail.",Dear God,[],Dear God,http://www.imdb.com/title/tt0116059/?ref_=fn_tt_tt_1,   (1996) ,"['Warren Leight', 'Ed Kaplan']",1996
tt0116313,PG,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",Hugh Wilson,['Comedy'],103,['El club de las divorciadas'],1.85 : 1,"$26,000,000              (estimated)",['USA'],"['Robbins &amp; Appleton Building', '1 Bond Street', 'New York City', 'New York', 'USA']","$105,489,203              (USA)",['English'],['Dolby Digital'],,https://images-na.ssl-images-amazon.com/images/M/MV5BMzAwZTA3Y2UtMWVlMi00ZmNiLTkzZjAtYjA2YzBhMGMyYzQ2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzAwZTA3Y2UtMWVlMi00ZmNiLTkzZjAtYjA2YzBhMGMyYzQ2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,"35,017",1996-09-20,"['Goldie Hawn', 'Bette Midler', 'Diane Keaton']","After years of helping their hubbies climb the ladder of success, three wives have been dumped for newer, curvier models. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet! Sit back and watch the sparks fly as The Wives get mad, get even and get it all. Justice has seldom been so sweet. Or so much fun.",The First Wives Club,[],The First Wives Club,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,   (1996) ,"['Olivia Goldsmith', 'Robert Harling']",1996
tt0116531,PG-13,"Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.",Hart Bochner,"['Comedy', 'Crime', 'Romance']",86,['Aprende como puedas'],1.85 : 1,,['USA'],"['Greystone Park &amp; Mansion - 905 Loma Vista Drive', 'Beverly Hills', 'California', 'USA']","$20,951,277              (USA)      (12 January 1997)",['English'],"['Dolby', 'SDDS', 'Dolby Digital']",,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MDc4Mjk5OF5BMl5BanBnXkFtZTYwNTc0NTc5._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MDc4Mjk5OF5BMl5BanBnXkFtZTYwNTc0NTc5._V1_UY268_CR1,0,182,268_AL_.jpg",5.5,"11,415",1996-10-25,"['Jon Lovitz', 'Tia Carrere', 'Louise Fletcher']","Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.",High School High,[],High School High,http://www.imdb.com/title/tt0116531/?ref_=fn_tt_tt_1,   (1996) ,"['David Zucker', 'Robert LoCash']",1996
tt0116823,PG,A motivational speaker discovers that the inheritance his father left for him is in the form of an elephant.,Howard Franklin,"['Comedy', 'Family']",93,['Large as Life'],1.85 : 1,"$30,000,000              (estimated)",['USA'],"['Denver', 'Colorado', 'USA']","$8,289,972              (USA)      (15 December 1996)",['English'],"['DTS', 'DTS-Stereo']",,https://images-na.ssl-images-amazon.com/images/M/MV5BODM0NzY3NjcyM15BMl5BanBnXkFtZTcwODYzNzA2NA@@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BODM0NzY3NjcyM15BMl5BanBnXkFtZTcwODYzNzA2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,"5,813",1996-11-01,"['Bill Murray', 'Matthew McConaughey', 'Jerry Adler']","Motovational Speaker Jack Corcoran is determined to get his career off the ground, but the biggest gigs he can get are the ones nobody wants. Then one day, he receives a telegram that his circus clown father has passed away, and has left a ""huge"" inheritance. When he gets there, he finds that his inheritance has come in the form of a elephant that was his father's pride and joy in circus acts. His main intention is to sell the pacaderm off. Jack must choose between loud and rude zookeeper Mo or attractive animal show owner Terry. As the two trek through the country Jack and the elephant develop a bond, and it changes his approach on life for the better.",Larger Than Life,[],Larger Than Life,http://www.imdb.com/title/tt0116823/?ref_=fn_tt_tt_1,   (1996) ,"['Roy Blount Jr.', 'Pen Densham']",1996
tt0117057,PG-13,"A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",Barbra Streisand,"['Comedy', 'Drama', 'Romance']",126,['El espejo tiene dos caras'],1.85 : 1,"$42,000,000              (estimated)",['USA'],"['505 West End Avenue', 'Manhattan', 'New York City', 'New York', 'USA']","$41,252,428              (USA)      (2 March 1997)",['English'],"['SDDS', 'Dolby SR', 'Dolby Digital']",,https://images-na.ssl-images-amazon.com/images/M/MV5BYjMxMGVlMDMtNDczOC00YzJiLWIyNWYtNWE2NWZiY2I5Mjg3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjMxMGVlMDMtNDczOC00YzJiLWIyNWYtNWE2NWZiY2I5Mjg3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,"12,250",1996-11-15,"['Barbra Streisand', 'Jeff Bridges', 'Lauren Bacall']","Rose and Gregory, both Columbia University professors meet when Rose's sister answers Gregory's ""personals"" ad. Several times burned, the handsome-but-boring Gregory believes that sex has ruined his life, and has deliberately set out to find and marry a woman with absolutely no sex appeal. Greg thinks he's found what he's looking for in Rose, a plain, plump English Lit professor who can't compete with her gorgeous mother and sister. More out of mutual admiration and respect than love, Greg and Rose marry. Greg assumes that Rose understands that he is not interested in a sexual relationship. He's mistaken, and their marriage is nearly destroyed when Rose tries to consummate their relationship. While Gregory is out of the country on a lecture tour, Rose diets and exercises to transform herself into a sexy siren in a last-ditch attempt to save her marriage.",The Mirror Has Two Faces,[],The Mirror Has Two Faces,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,   (1996) ,"['André Cayatte', 'Gérard Oury']",1996
tt0117438,R,"When a multimillionaire man's son is kidnapped, he cooperates with the police at first but then turns the tables on the kidnappers when he uses the ransom money as a reward for the capture of the kidnappers.",Ron Howard,"['Action', 'Crime', 'Thriller']",121,['El rescate'],1.85 : 1,"$80,000,000              (estimated)",['USA'],"['Bergen County', 'New Jersey', 'USA']","$136,492,681              (USA)",['English'],"['Dolby Digital', 'SDDS']",,https://images-na.ssl-images-amazon.com/images/M/MV5BZTc0ZjNkYTktMmJmOS00OTJlLTg1NWUtMzQ5ZGMxM2NhY2M0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTc0ZjNkYTktMmJmOS00OTJlLTg1NWUtMzQ5ZGMxM2NhY2M0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR10,0,182,268_AL_.jpg",6.6,"105,154",1996-11-08,"['Mel Gibson', 'Gary Sinise', 'Rene Russo']","Tom Mullen is a millionaire, he built his fortune by working hard. Along the way he learned how to play the game. He has a great family. One day his son is kidnapped. He is willing to pay the ransom but decides to call in the FBI, who manages to go into his home secretly. When he goes to make the drop something goes wrong. The kidnapper calls him again and reschedules it. On the way Mullen decides not to go and appears on TV saying that the ransom he was going to give to the kidnapper is now a bounty on the kidnapper.",Ransom,[],Ransom,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_2,   (1996) ,"['Cyril Hume', 'Richard Maibaum']",1996
